id,playtime_forever,is_free,price,genres,categories,tags,purchase_date,release_date,total_positive_reviews,total_negative_reviews
44,0.883333333,FALSE,5000,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Horror,Third Person,Adventure,Story Rich,Thriller,Atmospheric,Singleplayer,Psychological Horror,Great Soundtrack,Mystery,Episodic,Dark,Third-Person Shooter,Supernatural,Masterpiece,Cinematic,Narration,Survival Horror,Shooter","Oct 28, 2018",16-Feb-12,16607,1662
45,0.466666667,FALSE,3500,"Adventure,Indie","Single-player,Steam Achievements","Adventure,Indie,World War II,Historical,Story Rich,Education,Atmospheric,Realistic,Dark,Drama,Multiple Endings,Hidden Object","Mar 21, 2018",31-Oct-17,74,6
46,0,FALSE,24800,"Action,Adventure","Single-player,Co-op,In-App Purchases,Partial Controller Support","Illuminati,Hacking,Open World,Action,Parkour,Stealth,Multiplayer,Third Person,Shooter,Crime,Singleplayer,Third-Person Shooter,Adventure,Co-op,Sexual Content,Comedy,Mature,Atmospheric,Cute,Gore","Mar 24, 2019",28-Nov-16,22742,5941
47,0,FALSE,11000,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Detective,Adventure,Horror,Mystery,Supernatural,Atmospheric,Action,Singleplayer,Crime,Story Rich,Third Person,Noir,Masterpiece,Puzzle,Open World,RPG,Stealth,Walking Simulator,Dark,Point & Click","Oct 28, 2017",3-Jun-14,5396,954
48,0,FALSE,3400,"Action,Adventure",Single-player,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Puzzle,Singleplayer,Platformer,Action-Adventure,Shooter,Exploration,Third-Person Shooter,Parkour,Atmospheric,Underwater,3D Vision,Masterpiece,Classic,3D Platformer,Open World","Feb 16, 2018",21-Nov-08,1685,566
49,0.4,TRUE,0,"Casual,Free to Play,Massively Multiplayer,Simulation","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,VR Support,Partial Controller Support","Free to Play,VR,Casual,Simulation,Massively Multiplayer,Multiplayer,Choose Your Own Adventure,Online Co-Op,Experimental,Comedy,Card Game,Sports,Board Game","Nov 16, 2017",31-Mar-16,14,4
50,0.316666667,FALSE,2100,"Action,Early Access","Single-player,Partial Controller Support","Early Access,FPS,Shooter,Singleplayer,eSports,Early Access,Action,Fast-Paced,Score Attack,Competitive,Difficult,Simulation,First-Person,Casual,Multiplayer","Sep 21, 2017",5-Sep-16,2848,498
51,0,FALSE,11200,"Adventure,Indie,RPG,Strategy","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Includes level editor","RPG,Turn-Based,Co-op,Fantasy,Adventure,Masterpiece,Strategy,Open World,Isometric,CRPG,Story Rich,Kickstarter,Indie,Multiplayer,Singleplayer,Turn-Based Strategy,Magic,Online Co-Op,Crowdfunded,Atmospheric","Jun 28, 2017",30-Jun-14,7052,718
52,0,FALSE,6800,"Action,Indie","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","Action,Multiplayer,Underwater,Gore,Team-Based,Horror,Survival,PvP,Co-op,FPS,Shooter,Hunting,Survival Horror,First-Person,Atmospheric,Exploration,Simulation,Adventure,Indie,Singleplayer","Apr 16, 2018",3-Nov-14,16482,2102
53,1.983333333,FALSE,6000,"Adventure,Casual,Indie","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Puzzle,Indie,Hand-drawn,Adventure,Casual,Atmospheric,Singleplayer,Stylized,Short,2D,Story Rich,Mystery,Exploration,Interactive Fiction,Cartoony,Great Soundtrack,Point & Click","Dec 14, 2017",14-Dec-17,4850,139
54,14.55,FALSE,16000,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Adventure,Action,Lara Croft,Female Protagonist,Third Person,Singleplayer,Exploration,Action-Adventure,Open World,Survival,Story Rich,Puzzle,Atmospheric,Stealth,Third-Person Shooter,Parkour,Shooter,RPG,Great Soundtrack,Quick-Time Events","Sep 29, 2017",9-Feb-16,39351,3113
55,0.2,FALSE,10000,"Action,RPG,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Space,Simulation,RPG,Open World,Sci-fi,Space Sim,Singleplayer,Action,Sandbox,Adventure,Moddable,Strategy,Early Access,Survival,Difficult,Relaxing,Indie,4X,Exploration,Co-op","Oct 5, 2017",26-Sep-14,1949,834
56,3.933333333,FALSE,6900,"Adventure,RPG",Single-player,"Adventure,Female Protagonist,Story Rich,Fantasy,Sci-fi,Singleplayer,Third Person,RPG,Beautiful,Futuristic,Great Soundtrack,Atmospheric,Masterpiece,Nudity,Cyberpunk","Oct 28, 2017",12-Jan-07,543,92
57,0,FALSE,4800,"Action,Adventure,RPG,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Space,Masterpiece,RPG,Strategy,Adventure,Classic,Open World,Sci-fi,Simulation,Turn-Based,Atmospheric,Action,Comedy,Sandbox,Replay Value,Singleplayer,RTS,Arcade,2D,Procedural Generation","Apr 8, 2018",17-Oct-13,2805,169
58,3.283333333,FALSE,19200,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","RPG,Open World,Character Customization,Fantasy,Action,Adventure,Singleplayer,Action RPG,Dragons,Dark Fantasy,Third Person,Magic,Exploration,Great Soundtrack,Atmospheric,Story Rich,Difficult,JRPG,Multiplayer,Hack and Slash","Nov 22, 2018",15-Jan-16,10311,1386
59,0,FALSE,9900,Strategy,Single-player,"Strategy,RTS,Base Building,Multiplayer,Co-op,Alternate History,Sci-fi,Real-Time,Co-op Campaign,Singleplayer,War,Online Co-Op,Action,Comedy,Classic,Great Soundtrack,Masterpiece,FMV,Atmospheric,Nudity","Feb 10, 2019",8-Jan-09,4204,820
60,0.366666667,TRUE,0,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Sports,Early Access","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Full controller support,SteamVR Collectibles,Includes level editor","Early Access,VR,Free to Play,Multiplayer,Sports,Early Access,Online Co-Op,Massively Multiplayer,Co-op,Funny,Casual,Action,Adventure,First-Person,Simulation,FPS,Shooter,Family Friendly,Sexual Content,Singleplayer","Nov 19, 2017",28-Jun-16,116,1
61,0.866666667,FALSE,1100,"Action,Indie,RPG,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Action,Strategy,RPG,Card Game,Lovecraftian,Trading Card Game,Short,Real-Time,Rogue-lite,Rogue-like","Mar 13, 2018",11-Oct-16,53,33
62,0,FALSE,11200,Action,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Horror,Survival Horror,Sci-fi,Atmospheric,Aliens,Stealth,First-Person,Space,Survival,Female Protagonist,Singleplayer,Action,Difficult,Adventure,Great Soundtrack,FPS,Psychological Horror,Masterpiece,Gore,Shooter","Dec 21, 2017",6-Oct-14,16682,1430
63,0,TRUE,0,"Action,Free to Play,Indie","Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Captions available,VR Support,Partial Controller Support,Valve Anti-Cheat enabled,Includes level editor,Includes Source SDK","Free to Play,Zombies,Multiplayer,Survival,Horror,Co-op,Online Co-Op,Action,FPS,First-Person,Survival Horror,Shooter,Post-apocalyptic,Open World,Realistic,Indie,Atmospheric,Mod,Adventure,Massively Multiplayer","Aug 3, 2015",31-Oct-13,696,129
64,0,FALSE,3600,"Action,Adventure","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,Co-op,Lara Croft,Local Co-Op,Puzzle,Female Protagonist,Platformer,Online Co-Op,Puzzle-Platformer,Singleplayer,Multiplayer,Third Person,Twin Stick Shooter,Isometric,Local Multiplayer,Exploration,Arcade,Controller,Difficult","Feb 16, 2018",28-Sep-10,1895,161
65,0,TRUE,0,"Casual,Free to Play,Strategy,Early Access","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Early Access,Free to Play,Multiplayer,Strategy,Early Access,Tactical,Turn-Based Tactics,Turn-Based,Chess,Casual,Mature,Competitive,Fantasy,Singleplayer,Automation,Board Game,Action,Battle Royale","Jun 20, 2019",20-Jun-19,0,0
66,0,FALSE,5000,"Action,Indie","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Surreal,Beat 'em up,Fighting,First-Person,Adventure,Co-op,Open World,Singleplayer,FPS,Atmospheric,Online Co-Op,Sci-fi,Fantasy","Oct 28, 2017",30-Apr-13,388,93
67,0.566666667,TRUE,0,"Adventure,Indie,Simulation","Single-player,Co-op,Local Co-op,VR Support","VR,Adventure,Simulation,Indie,Free to Play,Magic,Horror,Singleplayer","Nov 19, 2017",31-May-16,31,0
68,1.633333333,FALSE,5800,"Indie,Simulation",Single-player,"Base Building,Survival,Resource Management,Building,Singleplayer,2D,Management,Simulation,Sandbox,Strategy,Space,Early Access,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Space Sim,Multiplayer","Sep 16, 2018",30-Jul-19,20873,1450
69,1.1,FALSE,4800,"Action,Adventure,Indie","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Western,Pixel Graphics,Open World,Indie,Adventure,Action,Detective,Local Co-Op,Retro,Great Soundtrack,Singleplayer,2D,RPG","Jun 28, 2017",16-Apr-15,927,82
70,0,FALSE,2600,"Adventure,Indie","Single-player,Partial Controller Support","Exploration,Walking Simulator,Horror,Adventure,Atmospheric,Indie,VR,First-Person,Singleplayer,Short","Jun 21, 2018",26-Apr-17,827,99
71,0.466666667,FALSE,9000,"Action,Indie,RPG,Simulation,Strategy","Single-player,Steam Trading Cards,Steam Workshop,Includes level editor","Open World,Sandbox,RPG,Survival,Strategy,Building,Crafting,Post-apocalyptic,City Builder,Singleplayer,Indie,Base Building,Simulation,Management,Adventure,RTS,Ninja,Early Access,Steampunk,Alternate History","Feb 27, 2019",6-Dec-18,12603,1460
72,1.1,FALSE,3600,"Adventure,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Indie,Dystopian,Choices Matter,Strategy,Atmospheric,Singleplayer,Story Rich,Simulation,Adventure,Dark,Multiple Endings,2D,RPG,Political,Great Soundtrack,Violent,Stealth,Point & Click,Difficult,Horror","Apr 23, 2018",9-Nov-16,9347,971
73,0,FALSE,4800,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Indie,Adventure,Action,Platformer,Atmospheric,Puzzle,Puzzle-Platformer,Dark,Singleplayer,Dystopian,Political,2.5D,Story Rich,Horror,Stealth,Side Scroller,Sci-fi,Cinematic,Survival,Classic","Mar 1, 2018",11-Jul-17,223,67
